property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,servant_room,store_room,facing,furnishing_type,age_possession,area_bedroom_ratio,luxury_category,floornum_category
Flat,hero homes,sector 104,2.4,1689.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,563.0,Luxury,Mid-rise
Independent House,"Nirvana Country, Gurgaon",sector 50,9.5,2160.0,4,4,3+,1,0,not available,Unfurnished,Old Property,540.0,Semi-Luxury,Low-rise
Independent House,"Sector 57, Gurgaon",sector 57,5.5,1449.0,7,7,3+,0,1,north-east,Unfurnished,Relatively New,207.0,Budget,Low-rise
Independent House,"Sector 7, Gurgaon",sector 7,3.1,1440.0,3,3,2,0,0,south-west,Unfurnished,Old Property,480.0,Budget,Low-rise
Independent House,Sector 14 RWA,sector 14,6.45,2250.0,7,7,3+,0,0,east,Unfurnished,Old Property,321.42857142857144,Budget,Low-rise
Independent House,Sector 21 RWA,sector 21,9.45,4518.0,4,4,3,0,0,west,Unfurnished,Old Property,1129.5,Semi-Luxury,Low-rise
Independent House,"DLF Phase 4, Gurgaon",sector 28,12.5,3240.0,8,11,3+,1,0,east,Unfurnished,Old Property,405.0,Budget,Low-rise
Flat,tulip violet,sector 69,3.1,2010.0,4,4,2,0,0,east,Unfurnished,Relatively New,502.5,Budget,Mid-rise
Flat,ashiana anmol,Greater Gurugram - Sohna Region,2.2,1884.0,3,3,2,0,0,north-east,Unfurnished,New Property,628.0,Semi-Luxury,Mid-rise
Flat,m3m woodshire,sector 107,1.35,1366.0,2,2,3,0,0,north-east,Unfurnished,Relatively New,683.0,Budget,Mid-rise
Flat,bestech park view grand spa,sector 81,3.55,2660.0,3,4,3+,1,1,east,Semi-Furnished,Relatively New,886.6666666666666,Luxury,Mid-rise
Flat,godrej meridien,sector 106,2.85,1855.0,3,3,3+,0,0,north,Unfurnished,New Property,618.3333333333334,Semi-Luxury,High-rise
Flat,vatika the seven lamps,sector 82,2.27,2160.0,3,3,3,1,0,east,Unfurnished,Relatively New,720.0,Luxury,Low-rise
Independent Builder Floor,"Block N, Mayfield garden, Gurgaon",sector 51,2.85,2370.0,3,3,2,0,0,east,Semi-Furnished,New Property,790.0,Budget,Low-rise
Flat,dlf the skycourt,sector 86,2.3,1929.0,3,3,2,0,0,not available,Unfurnished,Moderately Old,643.0,Budget,Low-rise
Independent House,"Laxman Vihar Phase 2, Gurgaon",sector 3,1.4,1800.0,9,3,0,0,0,north,Unfurnished,Old Property,200.0,Budget,Low-rise
Flat,m3m heights,sector 65,2.8,1516.0,2,2,2,0,0,not available,Unfurnished,Relatively New,758.0,Semi-Luxury,High-rise
Independent House,"Sushant Lok 2,Sector 55, Gurgaon",sector 55,6.1,1836.0,6,6,2,0,0,east,Unfurnished,Relatively New,306.0,Budget,Low-rise
Flat,greenopolis,sector 89,1.57,1910.0,3,3,3,1,0,east,Unfurnished,Relatively New,636.6666666666666,Luxury,Low-rise
Independent Builder Floor,Eros Rosewood City,sector 49,3.7,3150.0,4,4,2,1,1,east,Semi-Furnished,New Property,787.5,Luxury,Low-rise
Flat,silverglades the melia,Greater Gurugram - Sohna Region,1.35,1500.0,2,2,2,1,0,east,Unfurnished,New Property,750.0,Semi-Luxury,Mid-rise
Flat,m3m merlin,sector 67,5.9,3154.0,4,4,3,1,0,east,Unfurnished,Relatively New,788.5,Semi-Luxury,Mid-rise
Flat,unitech fresco,sector 50,1.95,1450.0,2,3,2,0,0,north-east,Semi-Furnished,Relatively New,725.0,Luxury,Mid-rise
Independent Builder Floor,Anant Raj Estates,sector 63,2.66,1900.0,3,3,2,1,0,east,Semi-Furnished,New Property,633.3333333333334,Luxury,Low-rise
Independent House,"Sector 42, Gurgaon",sector 42,8.75,6000.0,20,20,3+,0,1,north,Furnished,New Property,300.0,Luxury,Low-rise
Flat,bptp park serene,sector 37,2.05,1814.0,3,3,3+,0,0,south,Unfurnished,Relatively New,604.6666666666666,Semi-Luxury,Mid-rise
Independent Builder Floor,DLF Phase 4 Luxury Builder Floors,sector 28,5.95,3240.0,4,4,2,0,0,north,Semi-Furnished,New Property,810.0,Luxury,Low-rise
Flat,vatika sovereign park,sector 99,4.37,3460.0,4,4,3,1,0,north-east,Unfurnished,Relatively New,865.0,Semi-Luxury,Mid-rise
Flat,dlf new town heights 2,sector 86,2.1,1930.0,3,3,3,1,0,south-east,Unfurnished,Moderately Old,643.3333333333334,Luxury,Mid-rise
Flat,hero homes,sector 104,1.91,1359.0,3,2,2,0,0,north-east,Unfurnished,New Property,453.0,Semi-Luxury,Mid-rise
Independent House,"Ardee City, Gurgaon",sector 52,5.75,2160.0,3,3,2,0,0,south-east,Unfurnished,Relatively New,720.0,Budget,Low-rise
Flat,m3m escala,sector 70,2.39,1600.0,2,2,3,0,0,north-east,Semi-Furnished,Moderately Old,800.0,Luxury,Mid-rise
Independent Builder Floor,Ansals Palam Vihar,Old Gurgaon,3.25,3240.0,4,4,3+,0,0,north-east,Unfurnished,New Property,810.0,Budget,Low-rise
Independent Builder Floor,"South City 2, Gurgaon",sector 49,3.3,2160.0,3,3,2,0,0,not available,Semi-Furnished,New Property,720.0,Semi-Luxury,Low-rise
Independent House,"Palam Vihar, Gurgaon",Old Gurgaon,4.3,1557.0,6,5,3+,0,0,west,Semi-Furnished,Old Property,259.5,Budget,Low-rise
Flat,ss the leaf,sector 85,2.77,2408.0,3,4,3,1,0,east,Unfurnished,Relatively New,802.6666666666666,Luxury,Mid-rise
Independent House,"Sector 45, Gurgaon",sector 45,8.0,2367.0,3,3,3+,1,0,south-east,Unfurnished,Old Property,789.0,Budget,Low-rise
Independent House,"DLF Phase 3, Gurgaon",sector 24,2.0,2200.0,6,6,3,0,0,north,Unfurnished,Moderately Old,366.6666666666667,Budget,Low-rise
Independent House,"Sector 45, Gurgaon",sector 45,8.1,2367.0,9,9,3+,0,0,west,Unfurnished,Moderately Old,263.0,Budget,Low-rise
Independent House,Unitech South City 2,sector 50,9.0,2475.0,6,7,3+,1,1,east,Semi-Furnished,Moderately Old,412.5,Luxury,Low-rise
Independent Builder Floor,"Sector 49, Gurgaon",sector 49,3.5,2250.0,4,4,2,0,0,north-east,Unfurnished,New Property,562.5,Budget,Low-rise
Independent Builder Floor,Premium Luxury DLF City Floors,sector 26,4.5,2106.0,4,4,2,1,0,north-east,Unfurnished,New Property,526.5,Budget,Low-rise
Independent Builder Floor,Vatika Independent Floors,sector 82,1.05,930.0,2,2,1,0,0,north-east,Unfurnished,Moderately Old,465.0,Semi-Luxury,Low-rise
Flat,m3m heights,sector 65,3.9,2054.0,3,3,2,1,1,north-east,Semi-Furnished,New Property,684.6666666666666,Luxury,High-rise
Flat,mapsko royale ville,sector 82,4.95,5320.0,5,6,3+,1,0,west,Unfurnished,Relatively New,1064.0,Semi-Luxury,Mid-rise
Independent House,Kendriya Vihar,sector 56,3.55,2250.0,3,4,3+,1,0,north,Semi-Furnished,Old Property,750.0,Semi-Luxury,Low-rise
Independent House,Sobha International City Phase 3,sector 109,14.0,3600.0,5,6,3+,1,0,east,Unfurnished,Relatively New,720.0,Budget,Low-rise
Flat,spaze privy at4,sector 84,1.7,1610.0,2,2,3,0,0,north-east,Unfurnished,Relatively New,805.0,Luxury,Mid-rise
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,3.25,1500.0,3,3,2,1,0,north-west,Semi-Furnished,Relatively New,500.0,Budget,Low-rise
Flat,tata gurgaon gateway,sector 112,4.1,2575.0,3,4,3,1,0,north-east,Unfurnished,Moderately Old,858.3333333333334,Luxury,Mid-rise
Independent House,"Laxman Vihar Phase 2, Gurgaon",sector 3,0.75,1360.0,3,3,1,0,0,east,Unfurnished,New Property,453.3333333333333,Budget,Low-rise
Independent Builder Floor,Birla Navya,sector 63,3.8,2500.0,3,3,3,0,0,east,Unfurnished,New Property,833.3333333333334,Budget,Low-rise
Independent House,"Ardee City, Gurgaon",sector 52,1.85,2160.0,3,3,1,0,0,north-west,Unfurnished,Old Property,720.0,Budget,Low-rise
Flat,bestech park view sanskruti,sector 92,2.33,1920.0,3,3,3+,1,1,north,Unfurnished,Moderately Old,640.0,Luxury,Mid-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,12.3,2250.0,5,7,3+,0,0,north-east,Unfurnished,Relatively New,450.0,Budget,Low-rise
Flat,unitech fresco,sector 50,2.76,1877.0,3,4,3+,1,0,north,Unfurnished,Relatively New,625.6666666666666,Luxury,Mid-rise
Independent House,Central Park Flower Valley Fleur Villas,Greater Gurugram - Sohna Region,7.49,2250.0,4,3,3,1,0,east,Semi-Furnished,Relatively New,562.5,Semi-Luxury,Low-rise
Independent House,"Sushant Lok Phase 1, Gurgaon",sector 43,9.5,2700.0,5,6,3+,1,1,north,Semi-Furnished,Moderately Old,540.0,Luxury,Low-rise
Flat,experion the heartsong,sector 108,3.35,2631.0,4,5,3+,1,0,east,Semi-Furnished,Moderately Old,657.75,Semi-Luxury,Low-rise
Flat,adani m2k oyster grande,sector 102,2.5,1689.0,3,3,3,0,0,east,Unfurnished,Moderately Old,563.0,Semi-Luxury,Mid-rise
Independent Builder Floor,Smart World Gems,sector 89,1.58,1423.0,3,3,2,0,1,east,Unfurnished,New Property,474.3333333333333,Semi-Luxury,Low-rise
Independent House,Emaar MGF Marbella,sector 66,21.0,4500.0,4,4,3,1,0,north-east,Unfurnished,Relatively New,1125.0,Semi-Luxury,Low-rise
Independent House,Emaar MGF Marbella,sector 66,13.8,2403.0,4,4,3+,1,1,north,Semi-Furnished,Relatively New,600.75,Luxury,Low-rise
Flat,ats marigold,sector 89,2.91,2650.0,3,4,3+,1,0,south-east,Unfurnished,New Property,883.3333333333334,Semi-Luxury,High-rise
Independent House,Central Park Flower Valley Fleur Villas,Greater Gurugram - Sohna Region,7.2,2250.0,4,4,3+,1,1,north,Semi-Furnished,Relatively New,562.5,Semi-Luxury,Low-rise
Flat,emaar emerald hills,sector 65,2.6,1020.0,2,2,3,0,1,east,Semi-Furnished,Relatively New,510.0,Luxury,Low-rise
Independent House,International City by SOBHA Phase 2,sector 109,14.6,3600.0,5,5,3+,1,0,north-east,Unfurnished,New Property,720.0,Budget,Low-rise
Flat,dlf regal gardens,sector 90,2.15,1752.0,3,3,3+,0,0,north-east,Unfurnished,Relatively New,584.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,4.28,4680.0,4,4,2,1,0,north,Unfurnished,New Property,1170.0,Budget,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,3.1,1700.0,4,5,3+,0,0,north-east,Unfurnished,Relatively New,425.0,Luxury,Mid-rise
Flat,hero homes,sector 104,1.65,1099.0,2,2,2,0,0,not available,Unfurnished,Relatively New,549.5,Budget,High-rise
Flat,mahindra aura,sector 110,2.75,1954.0,3,4,3+,1,0,north-east,Unfurnished,Relatively New,651.3333333333334,Budget,Mid-rise
Flat,vatika the seven lamps,sector 82,2.4,2160.0,3,3,3,1,0,west,Unfurnished,Moderately Old,720.0,Semi-Luxury,Mid-rise
Independent House,Anant Raj Manor Villas,sector 63,9.5,5000.0,5,5,3+,1,0,east,Unfurnished,New Property,1000.0,Luxury,Low-rise
Flat,raheja vedaanta,sector 108,1.62,1838.0,3,3,2,0,0,north-east,Unfurnished,Relatively New,612.6666666666666,Semi-Luxury,Mid-rise
Independent House,Eros Rosewood Villas,sector 49,28.5,6200.0,6,6,2,0,0,north-east,Unfurnished,Moderately Old,1033.3333333333333,Semi-Luxury,Low-rise
Flat,ats triumph,sector 104,4.05,3150.0,4,4,3+,1,0,east,Unfurnished,Relatively New,787.5,Semi-Luxury,Mid-rise
Independent Builder Floor,DLF The Grove,sector 43,10.85,2100.0,4,4,3,1,1,east,Semi-Furnished,New Property,525.0,Luxury,Low-rise
Independent Builder Floor,Ansals Palam Vihar,Old Gurgaon,4.85,4000.0,4,5,2,1,1,north-east,Unfurnished,New Property,1000.0,Semi-Luxury,Low-rise
Flat,microtek greenburg,sector 86,2.1,1480.0,2,2,2,1,1,north-east,Furnished,Relatively New,740.0,Luxury,Mid-rise
Independent House,Vipul Tatvam Villa,sector 48,11.25,3240.0,4,5,3+,1,1,north,Furnished,Relatively New,810.0,Luxury,Low-rise
Flat,mahindra aura,sector 110,3.4,2428.0,4,4,3+,1,0,east,Unfurnished,Relatively New,607.0,Luxury,Mid-rise
Flat,cosmos express 99,sector 99,0.87,795.0,1,1,1,0,0,east,Unfurnished,New Property,795.0,Budget,Low-rise
Flat,godrej meridien,sector 106,2.68,1625.0,3,3,2,0,0,east,Unfurnished,New Property,541.6666666666666,Semi-Luxury,Mid-rise
Independent House,"Sector 5, Gurgaon",sector 5,6.1,2430.0,3,3,2,0,0,south,Unfurnished,Old Property,810.0,Budget,Low-rise
Flat,paras irene,sector 70,2.9,1830.0,3,3,3+,1,0,east,Semi-Furnished,Moderately Old,610.0,Luxury,Mid-rise
Independent House,"Sector 57, Gurgaon",sector 57,11.5,2367.0,12,12,2,0,0,north,Unfurnished,Relatively New,197.25,Budget,Low-rise
Flat,m3m heights,sector 65,3.38,1828.0,3,3,3+,0,1,north-east,Semi-Furnished,Relatively New,609.3333333333334,Semi-Luxury,Mid-rise
Flat,dlf the ultima,sector 81,3.65,2100.0,3,4,3+,1,0,north-east,Furnished,Relatively New,700.0,Luxury,Mid-rise
Independent House,"Block M New Palam Vihar Phase 1, Gurgaon",sector 110,1.45,2460.0,5,6,3+,0,0,north-east,Unfurnished,Moderately Old,492.0,Budget,Low-rise
Independent Builder Floor,"South City 1, Gurgaon",sector 41,4.75,3240.0,4,4,2,0,0,south,Semi-Furnished,Relatively New,810.0,Budget,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.1,1349.0,2,2,3,0,0,east,Unfurnished,Relatively New,674.5,Luxury,Mid-rise
Flat,spaze privy at4,sector 84,1.98,1918.0,3,4,3+,0,0,north,Unfurnished,Relatively New,639.3333333333334,Semi-Luxury,Mid-rise
Independent House,Sector 43,sector 43,6.5,1449.0,2,2,3+,0,0,south-west,Unfurnished,Moderately Old,724.5,Budget,Low-rise
Independent House,International City by SOBHA Phase 2,sector 109,14.5,3600.0,6,7,3,1,1,north-east,Unfurnished,Relatively New,600.0,Semi-Luxury,Low-rise
Independent House,"Sector 10A, Gurgaon",sector 10,2.5,900.0,4,4,3+,0,1,north-east,Unfurnished,Relatively New,225.0,Budget,Low-rise
Independent Builder Floor,DLF Luxury Builder Floors,sector 25,4.62,3300.0,5,6,2,1,0,north,Semi-Furnished,New Property,660.0,Budget,Low-rise
Flat,unitech fresco,sector 50,2.85,1877.0,3,4,3+,1,0,east,Unfurnished,Moderately Old,625.6666666666666,Luxury,Mid-rise
Independent Builder Floor,Ultra-Luxury Floors,sector 28,5.5,3240.0,4,4,2,1,0,north-east,Semi-Furnished,Relatively New,810.0,Luxury,Low-rise
Flat,dlf new town heights 1,sector 90,2.95,2727.0,4,5,3+,1,0,east,Semi-Furnished,Relatively New,681.75,Semi-Luxury,High-rise
Flat,ats tourmaline,sector 109,2.0,1750.0,3,3,3+,0,0,west,Unfurnished,Relatively New,583.3333333333334,Luxury,Mid-rise
Independent House,"Sector 9, Gurgaon",sector 9,3.7,1440.0,4,3,2,1,0,east,Furnished,Moderately Old,360.0,Luxury,Low-rise
Flat,ireo the corridors,sector 67,3.0,1933.0,3,3,3+,1,0,north-east,Semi-Furnished,Moderately Old,644.3333333333334,Semi-Luxury,Mid-rise
Flat,intelligentsia apartment,sector 56,2.42,1800.0,3,3,3,0,0,north-west,Unfurnished,Moderately Old,600.0,Semi-Luxury,Mid-rise
Independent House,"Greenwood City, Gurgaon",sector 45,14.85,4518.0,6,7,3+,1,1,east,Unfurnished,Relatively New,753.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,2.35,2367.0,3,3,2,1,0,west,Unfurnished,Relatively New,789.0,Budget,Low-rise
Flat,sobha city,sector 108,4.15,2072.0,3,3,3+,0,0,north-east,Unfurnished,Relatively New,690.6666666666666,Luxury,Mid-rise
Independent Builder Floor,"Sector 51, Gurgaon",sector 51,2.5,1800.0,3,3,2,1,0,north-west,Semi-Furnished,New Property,600.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,6.0,3762.0,4,5,2,1,0,west,Semi-Furnished,New Property,940.5,Budget,Low-rise
Flat,bestech park view grand spa,sector 81,4.48,3470.0,4,4,2,1,0,west,Unfurnished,Moderately Old,867.5,Luxury,Mid-rise
Independent House,"Devilal Colony, Gurgaon",sector 9,0.55,1980.0,3,3,0,0,0,not available,Unfurnished,Old Property,660.0,Budget,Low-rise
Independent Builder Floor,Ansals Palam Vihar,Old Gurgaon,3.5,3240.0,4,4,2,0,0,north-east,Unfurnished,New Property,810.0,Semi-Luxury,Low-rise
Independent House,Vipul World,sector 48,6.25,6000.0,10,8,3+,0,0,west,Unfurnished,Moderately Old,600.0,Budget,Low-rise
Independent Builder Floor,"Sector 67A, Gurgaon",sector 67,2.85,2700.0,4,4,2,0,0,east,Unfurnished,New Property,675.0,Budget,Low-rise
Flat,ss the leaf,sector 85,3.7,2812.0,4,5,3+,1,0,east,Furnished,Relatively New,703.0,Semi-Luxury,Mid-rise
Flat,sector 70,sector 70,1.8,1395.0,3,3,2,0,0,north-east,Semi-Furnished,New Property,465.0,Budget,Low-rise
Independent House,Vipul Tatvam Villa,sector 48,8.0,2583.0,4,4,2,1,0,north,Unfurnished,Old Property,645.75,Luxury,Low-rise
Flat,m3m merlin,sector 67,3.7,2047.0,3,3,3,0,0,north,Unfurnished,Relatively New,682.3333333333334,Semi-Luxury,Low-rise
Independent Builder Floor,Ansal Homes,sector 57,2.3,1800.0,3,3,2,0,0,not available,Semi-Furnished,New Property,600.0,Semi-Luxury,Low-rise
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,4.25,2700.0,4,4,2,0,0,west,Unfurnished,Relatively New,675.0,Luxury,Low-rise
Flat,bestech park view grand spa,sector 81,3.45,2660.0,3,4,3+,1,0,north-east,Semi-Furnished,Relatively New,886.6666666666666,Luxury,Mid-rise
Independent House,urban home,sector 105,0.85,570.0,2,2,1,0,0,north-west,Unfurnished,Under Construction,285.0,Budget,Low-rise
Independent Builder Floor,Signature Global Park,Greater Gurugram - Sohna Region,0.8,822.0,2,2,3,0,0,north-east,Unfurnished,New Property,411.0,Budget,Low-rise
Independent House,"New Colony, Gurgaon",sector 7,2.05,837.0,1,1,2,0,0,north-east,Unfurnished,Relatively New,837.0,Budget,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,3.5,2430.0,4,5,2,0,0,west,Semi-Furnished,New Property,607.5,Budget,Low-rise
Independent House,Eros City Square,sector 49,5.89,1728.0,4,3,2,0,0,south-east,Semi-Furnished,Relatively New,432.0,Luxury,Low-rise
Independent House,Emaar MGF Marbella,sector 66,12.0,2403.0,4,4,3,1,0,north-east,Semi-Furnished,Relatively New,600.75,Semi-Luxury,Low-rise
Flat,dlf the ultima,sector 81,3.6,2132.0,3,3,2,0,0,north-east,Semi-Furnished,Relatively New,710.6666666666666,Luxury,Mid-rise
Flat,pioneer park,sector 61,2.3,1365.0,2,2,2,0,0,north-east,Unfurnished,Moderately Old,682.5,Luxury,Mid-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,1.87,1215.0,2,2,2,0,0,west,Unfurnished,Relatively New,607.5,Semi-Luxury,High-rise
Flat,ss cendana reserve collection,sector 83,1.9,1850.0,3,3,2,0,0,not available,Unfurnished,New Property,616.6666666666666,Semi-Luxury,Mid-rise
Independent Builder Floor,Anant Raj Estates,sector 63,2.35,1450.0,3,2,2,1,0,east,Semi-Furnished,New Property,483.3333333333333,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 55, Gurgaon",sector 55,3.45,2700.0,4,4,2,1,0,east,Semi-Furnished,New Property,675.0,Semi-Luxury,Low-rise
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,3.14,1800.0,3,3,2,0,0,north-east,Furnished,Relatively New,600.0,Budget,Low-rise
Flat,puri emerald bay,sector 104,3.35,2450.0,3,4,3+,1,0,north-east,Furnished,Relatively New,816.6666666666666,Luxury,High-rise
Flat,adani m2k oyster grande,sector 102,6.0,4548.0,4,4,3+,1,0,north-east,Unfurnished,Relatively New,1137.0,Luxury,Low-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,13.0,2700.0,5,6,3+,1,1,north-east,Semi-Furnished,Moderately Old,540.0,Luxury,Low-rise
Independent House,Eros Rosewood City,sector 49,16.5,4725.0,5,7,3+,1,1,north-east,Furnished,New Property,945.0,Luxury,Low-rise
Flat,sobha city,sector 108,2.68,1381.0,2,2,2,0,0,north-east,Unfurnished,New Property,690.5,Semi-Luxury,Low-rise
Independent House,Eros Rosewood City,sector 49,4.25,1800.0,3,3,3,0,0,not available,Unfurnished,Moderately Old,600.0,Budget,Low-rise
Flat,ireo the grand arch,sector 58,3.25,1632.0,2,2,1,0,1,west,Unfurnished,Moderately Old,816.0,Luxury,Low-rise
Independent House,"Sector-22A, Gurgaon",sector 22,6.5,2367.0,8,8,3+,0,1,west,Semi-Furnished,Moderately Old,295.875,Semi-Luxury,Low-rise
Independent House,"Palam Vihar, Gurgaon",Old Gurgaon,11.5,4680.0,4,4,3+,1,1,south-east,Unfurnished,Moderately Old,1170.0,Semi-Luxury,Low-rise
Independent Builder Floor,DLF The Grove,sector 43,8.75,1650.0,4,4,2,1,1,east,Furnished,New Property,412.5,Luxury,Low-rise
Flat,godrej meridien,sector 106,2.88,1855.0,3,3,3+,0,1,north-east,Unfurnished,New Property,618.3333333333334,Luxury,Mid-rise
Independent Builder Floor,"Block-A, DLF City Phase 1, Gurgaon",sector 26,7.0,4518.0,4,4,2,1,0,north,Semi-Furnished,Relatively New,1129.5,Budget,Low-rise
Independent Builder Floor,Smart World Gems,sector 89,1.7,1494.0,3,3,2,0,0,east,Unfurnished,Relatively New,498.0,Luxury,Low-rise
Independent House,"Sector 43, Gurgaon",sector 43,12.0,2367.0,12,12,2,0,0,north,Unfurnished,New Property,197.25,Budget,Low-rise
Flat,emaar palm gardens,sector 83,2.55,1900.0,3,4,3,1,0,north,Unfurnished,Relatively New,633.3333333333334,Luxury,Mid-rise
Flat,paras irene,sector 70,2.65,1920.0,3,3,3+,1,0,east,Unfurnished,Relatively New,640.0,Semi-Luxury,Low-rise
Flat,conscient elevate,sector 59,6.35,2595.0,3,3,2,1,0,east,Unfurnished,New Property,865.0,Budget,Low-rise
Flat,m3m golfestate,sector 65,15.2,6335.0,4,5,3+,1,0,north,Semi-Furnished,Relatively New,1583.75,Luxury,High-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,4.42,2700.0,4,4,2,1,0,not available,Semi-Furnished,New Property,675.0,Semi-Luxury,Low-rise
Flat,signature the roselia,sector 95,0.62,569.0,2,2,2,0,0,north-east,Unfurnished,Relatively New,284.5,Budget,Mid-rise
Independent House,"DLF Phase 3, Gurgaon",sector 24,3.25,2800.0,11,11,3+,0,0,north,Unfurnished,New Property,254.54545454545453,Budget,Low-rise
Independent Builder Floor,Ansal Sushant Lok 2,sector 56,3.75,2200.0,4,4,2,1,0,east,Unfurnished,New Property,550.0,Budget,Low-rise
Flat,dlf westend heights,sector 43,8.0,2810.0,4,4,3+,1,0,north-east,Unfurnished,Old Property,702.5,Luxury,Mid-rise
Independent Builder Floor,Today Blossoms 2,sector 51,3.5,2400.0,4,4,2,0,0,north-east,Semi-Furnished,Relatively New,600.0,Budget,Low-rise
Independent House,"DLF Cyber City, Gurgaon",sector 24,21.0,4500.0,4,3,2,0,0,north,Unfurnished,Old Property,1125.0,Budget,Low-rise
Independent House,"Farukhnagar, Gurgaon",outskirt,0.82,1098.0,5,2,1,0,0,west,Unfurnished,Relatively New,219.6,Budget,Low-rise
Flat,tata primanti,sector 72,4.65,2625.0,4,5,3+,1,0,north-east,Semi-Furnished,Relatively New,656.25,Luxury,High-rise
Flat,pivotal devaan,outskirt,0.6,583.0,2,2,1,0,0,west,Unfurnished,Relatively New,291.5,Budget,Mid-rise
Flat,puri diplomatic greens,sector 111,4.5,2950.0,4,5,3+,1,0,south,Semi-Furnished,Relatively New,737.5,Luxury,Mid-rise
